Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3755.739990,3836.860107,3643.250000,3790.550049,3790.550049,1510070000
2000-01-04,3766.570068,3766.570068,3542.729980,3546.199951,3546.199951,1511840000
2000-01-05,3543.129883,3576.169922,3371.750000,3507.310059,3507.310059,1735670000
2000-01-06,3488.310059,3513.550049,3334.020020,3340.810059,3340.810059,1598320000
2000-01-07,3337.260010,3529.750000,3314.750000,3529.600098,3529.600098,1634930000
2000-01-10,3558.209961,3756.169922,3558.209961,3717.409912,3717.409912,1691710000
2000-01-11,3715.219971,3717.169922,3517.790039,3544.350098,3544.350098,1694460000
2000-01-12,3548.770020,3572.620117,3447.899902,3478.139893,3478.139893,1525900000
2000-01-13,3495.830078,3612.429932,3494.389893,3612.080078,3612.080078,1476970000
2000-01-14,3653.300049,3744.889893,3653.300049,3704.739990,3704.739990,1656630000
2000-01-18,3704.739990,3779.560059,3665.870117,3757.780029,3757.780029,1585230000
2000-01-19,3741.449951,3803.719971,3711.959961,3790.889893,3790.889893,1652210000
2000-01-20,3798.840088,3877.429932,3782.429932,3841.739990,3841.739990,1851300000
2000-01-21,3841.739990,3891.810059,3806.580078,3849.959961,3849.959961,1923680000
2000-01-24,3888.330078,3905.100098,3660.860107,3660.959961,3660.959961,1989050000
2000-01-25,3667.020020,3759.330078,3591.340088,3759.110107,3759.110107,1743630000
2000-01-26,3762.689941,3762.689941,3621.100098,3621.209961,3621.209961,1717000000
2000-01-27,3628.879883,3701.300049,3512.070068,3593.149902,3593.149902,1798460000
2000-01-28,3595.889893,3618.080078,3408.030029,3446.129883,3446.129883,1616370000
2000-01-31,3438.090088,3570.590088,3349.060059,3570.050049,3570.050049,1507630000
2000-02-01,3580.290039,3703.590088,3544.929932,3701.780029,3701.780029,1398240000
2000-02-02,3700.199951,3785.360107,3693.949951,3724.459961,3724.459961,1527880000
2000-02-03,3726.129883,3857.340088,3704.229980,3851.159912,3851.159912,1722330000
2000-02-04,3858.600098,3929.810059,3856.830078,3874.370117,3874.370117,1751450000
2000-02-07,3873.429932,3933.750000,3858.889893,3933.340088,3933.340088,1625540000
2000-02-08,3932.239990,4063.790039,3932.239990,4062.770020,4062.770020,1971180000
2000-02-09,4061.739990,4087.840088,3966.330078,3968.459961,3968.459961,1775590000
2000-02-10,3974.830078,4090.070068,3956.899902,4090.000000,4090.000000,1813590000
2000-02-11,4090.260010,4090.260010,3933.780029,3968.889893,3968.889893,1738590000
2000-02-14,3969.949951,4005.590088,3918.870117,3986.129883,3986.129883,1600850000
2000-02-15,3983.850098,4024.129883,3848.370117,3997.030029,3997.030029,1708930000
2000-02-16,3997.030029,4063.580078,3982.550049,3997.969971,3997.969971,1782130000
2000-02-17,4012.290039,4127.350098,3993.570068,4125.379883,4125.379883,2008440000
2000-02-18,4130.549805,4135.600098,3959.830078,3965.750000,3965.750000,1898410000
2000-02-22,3970.530029,4001.070068,3856.020020,3969.129883,3969.129883,1772290000
2000-02-23,3966.000000,4198.160156,3966.000000,4170.089844,4170.089844,1892800000
2000-02-24,4169.660156,4253.750000,4099.390137,4253.049805,4253.049805,1944050000
2000-02-25,4254.560059,4297.459961,4169.339844,4178.580078,4178.580078,1825500000
2000-02-28,4178.580078,4224.950195,4024.080078,4162.129883,4162.129883,1798070000
2000-02-29,4174.750000,4269.759766,4174.750000,4266.939941,4266.939941,2088840000
2000-03-01,4275.720215,4346.410156,4269.660156,4309.009766,4309.009766,2232340000
2000-03-02,4311.970215,4337.649902,4197.979980,4234.259766,4234.259766,2137080000
2000-03-03,4257.529785,4442.870117,4257.529785,4442.870117,4442.870117,2136530000
2000-03-06,4448.479980,4528.689941,4436.600098,4457.180176,4457.180176,2015580000
2000-03-07,4489.490234,4560.959961,4355.609863,4390.830078,4390.830078,2156410000
2000-03-08,4409.979980,4470.279785,4266.870117,4445.680176,4445.680176,2020130000
2000-03-09,4446.479980,4587.549805,4379.600098,4586.259766,4586.259766,2006810000
2000-03-10,4586.259766,4659.720215,4549.069824,4587.160156,4587.160156,1992170000
2000-03-13,4585.160156,4585.160156,4387.740234,4426.799805,4426.799805,1736270000
2000-03-14,4448.629883,4537.990234,4226.790039,4226.990234,4226.990234,1977820000
2000-03-15,4250.740234,4341.540039,4094.040039,4130.009766,4130.009766,1937800000
2000-03-16,4141.229980,4353.589844,4049.979980,4353.330078,4353.330078,2041510000
2000-03-17,4349.259766,4441.000000,4326.759766,4440.450195,4440.450195,1691530000
2000-03-20,4443.350098,4460.370117,4260.919922,4261.149902,4261.149902,1539860000
2000-03-21,4259.580078,4450.410156,4155.339844,4449.330078,4449.330078,1753310000
2000-03-22,4449.220215,4639.120117,4449.220215,4596.810059,4596.810059,1769510000
2000-03-23,4594.370117,4704.209961,4547.000000,4660.620117,4660.620117,1714160000
2000-03-24,4659.759766,4816.350098,4608.919922,4691.609863,4691.609863,1688970000
2000-03-27,4687.600098,4781.189941,4687.600098,4704.729980,4704.729980,1380380000
2000-03-28,4705.750000,4714.350098,4582.450195,4583.390137,4583.390137,1490090000
2000-03-29,4583.810059,4615.089844,4408.600098,4413.919922,4413.919922,1738270000
2000-03-30,4376.410156,4491.080078,4151.120117,4250.189941,4250.189941,1925860000
2000-03-31,4268.640137,4424.430176,4171.089844,4397.839844,4397.839844,2118100000
2000-04-03,4355.700195,4355.700195,4041.239990,4077.020020,4077.020020,1739920000
2000-04-04,4089.780029,4146.500000,3525.439941,4034.169922,4034.169922,2889100000
2000-04-05,4028.399902,4156.430176,3884.320068,4030.260010,4030.260010,1947700000
2000-04-06,4036.389893,4161.419922,4005.310059,4086.729980,4086.729980,1746450000
2000-04-07,4111.180176,4292.879883,4111.180176,4291.529785,4291.529785,1563430000
2000-04-10,4293.629883,4308.620117,3998.100098,3998.260010,3998.260010,1446140000
2000-04-11,3987.239990,4049.550049,3829.389893,3909.209961,3909.209961,1679390000
2000-04-12,3909.000000,3943.679932,3632.409912,3633.629883,3633.629883,1921090000
2000-04-13,3645.790039,3831.699951,3552.510010,3553.810059,3553.810059,1951500000
2000-04-14,3536.409912,3536.409912,3138.419922,3207.959961,3207.959961,2555780000
2000-04-17,3194.500000,3530.669922,3107.419922,3529.449951,3529.449951,2482830000
2000-04-18,3531.070068,3717.659912,3511.810059,3715.810059,3715.810059,2152720000
2000-04-19,3720.239990,3753.449951,3578.899902,3583.070068,3583.070068,1760270000
2000-04-20,3587.270020,3632.239990,3453.300049,3505.290039,3505.290039,1422730000
2000-04-24,3448.229980,3448.229980,3200.899902,3353.530029,3353.530029,1540710000
2000-04-25,3371.209961,3622.290039,3371.209961,3621.560059,3621.560059,1622910000
2000-04-26,3622.800049,3690.290039,3505.110107,3505.709961,3505.709961,1592830000
2000-04-27,3504.199951,3692.919922,3390.600098,3692.570068,3692.570068,1548760000
2000-04-28,3696.419922,3790.780029,3696.419922,3773.179932,3773.179932,1583710000
2000-05-01,3789.199951,3871.929932,3777.050049,3829.840088,3829.840088,1500610000
2000-05-02,3768.040039,3824.469971,3626.540039,3627.310059,3627.310059,1438040000
2000-05-03,3627.310059,3627.310059,3435.300049,3562.159912,3562.159912,1480050000
2000-05-04,3561.719971,3627.350098,3518.120117,3570.729980,3570.729980,1287850000
2000-05-05,3571.270020,3692.399902,3534.070068,3688.360107,3688.360107,1197290000
